meter_id,dt_id,feeder_id,zone,sanctioned_load,tariff_type,lat,long
M00055,DT-401,FDR-001,RR_Nagar,3.1,LT2-domestic,12.844865,77.43211
M00056,DT-401,FDR-001,RR_Nagar,4.9,LT2-domestic,12.843786,77.431551
M00057,DT-401,FDR-001,RR_Nagar,1.9,LT2-domestic,12.844625,77.43326
M00058,DT-401,FDR-001,RR_Nagar,1.5,LT2-domestic,12.8459,77.431797
M00059,DT-401,FDR-001,RR_Nagar,4.1,LT2-domestic,12.845227,77.432263
M00060,DT-401,FDR-001,RR_Nagar,4.2,LT2-domestic,12.843825,77.431897
M00061,DT-401,FDR-001,RR_Nagar,3.9,LT2-domestic,12.844119,77.431778
M00062,DT-401,FDR-001,RR_Nagar,3.9,LT2-domestic,12.843432,77.432803
M00063,DT-401,FDR-001,RR_Nagar,2.3,LT2-domestic,12.84383,77.432006
M00064,DT-401,FDR-001,RR_Nagar,3.9,LT2-domestic,12.843623,77.433148
H80065,DT-401,FDR-001,RR_Nagar,4.1,LT2-domestic,12.843396,77.431013
M00066,DT-401,FDR-001,RR_Nagar,4.9,LT2-domestic,12.843929,77.432304
M00067,DT-401,FDR-001,RR_Nagar,4.7,LT2-domestic,12.842066,77.432175
M00068,DT-401,FDR-001,RR_Nagar,2.1,LT2-domestic,12.845385,77.434073
M00069,DT-401,FDR-001,RR_Nagar,4.0,LT2-domestic,12.842146,77.431967
M00070,DT-401,FDR-001,RR_Nagar,1.7,LT2-domestic,12.845377,77.432777
M00071,DT-401,FDR-001,RR_Nagar,3.3,LT2-domestic,12.843276,77.432401
M00072,DT-401,FDR-001,RR_Nagar,4.5,LT2-domestic,12.842907,77.432197
M00073,DT-401,FDR-001,RR_Nagar,2.8,LT2-domestic,12.844824,77.430966
M00074,DT-401,FDR-001,RR_Nagar,1.4,LT2-domestic,12.843984,77.431483
M00075,DT-401,FDR-001,RR_Nagar,3.8,LT2-domestic,12.843321,77.433082
M00076,DT-401,FDR-001,RR_Nagar,1.0,LT2-domestic,12.843566,77.431958
M00077,DT-401,FDR-001,RR_Nagar,1.4,LT2-domestic,12.843239,77.430095
M00078,DT-401,FDR-001,RR_Nagar,2.1,LT2-domestic,12.843296,77.432088
H80079,DT-401,FDR-001,RR_Nagar,1.6,LT2-domestic,12.843127,77.432406
H80080,DT-401,FDR-001,RR_Nagar,35.6,LT5-commercial,12.843795,77.431371
M00081,DT-401,FDR-001,RR_Nagar,1.7,LT2-domestic,12.844083,77.431022
M00082,DT-401,FDR-001,RR_Nagar,4.7,LT2-domestic,12.84381,77.431348
M00083,DT-401,FDR-001,RR_Nagar,3.8,LT2-domestic,12.845298,77.431805
M00084,DT-401,FDR-001,RR_Nagar,1.7,LT2-domestic,12.843807,77.432424
M00085,DT-401,FDR-001,RR_Nagar,2.4,LT2-domestic,12.844096,77.433006
M00086,DT-401,FDR-001,RR_Nagar,3.1,LT2-domestic,12.844488,77.433587
M00087,DT-401,FDR-001,RR_Nagar,1.7,LT2-domestic,12.843095,77.432365
M00088,DT-401,FDR-001,RR_Nagar,4.2,LT2-domestic,12.843324,77.4319
M00089,DT-401,FDR-001,RR_Nagar,1.1,LT2-domestic,12.845237,77.431747
M00090,DT-401,FDR-001,RR_Nagar,4.6,LT2-domestic,12.846628,77.432781
M00091,DT-401,FDR-001,RR_Nagar,3.7,LT2-domestic,12.844023,77.432436
M00092,DT-401,FDR-001,RR_Nagar,3.2,LT2-domestic,12.844605,77.432094
M00093,DT-401,FDR-001,RR_Nagar,4.5,LT2-domestic,12.843941,77.43234
M00094,DT-401,FDR-001,RR_Nagar,41.5,LT5-commercial,12.844355,77.432974
M00095,DT-401,FDR-001,RR_Nagar,2.4,LT2-domestic,12.845066,77.431877
M00096,DT-401,FDR-001,RR_Nagar,21.9,LT5-commercial,12.844623,77.433316
M00097,DT-401,FDR-001,RR_Nagar,40.0,LT5-commercial,12.844645,77.431868
M00098,DT-401,FDR-001,RR_Nagar,3.5,LT2-domestic,12.844824,77.430591
M00099,DT-401,FDR-001,RR_Nagar,2.1,LT2-domestic,12.843148,77.430386
M00100,DT-402,FDR-001,RR_Nagar,4.4,LT2-domestic,12.811389,77.443123
M00101,DT-402,FDR-001,RR_Nagar,2.6,LT2-domestic,12.810018,77.443277
M00102,DT-402,FDR-001,RR_Nagar,1.8,LT2-domestic,12.808376,77.443688
M00103,DT-402,FDR-001,RR_Nagar,2.1,LT2-domestic,12.809147,77.444514
M00104,DT-402,FDR-001,RR_Nagar,3.7,LT2-domestic,12.808361,77.441591
M00105,DT-402,FDR-001,RR_Nagar,5.0,LT2-domestic,12.809403,77.441467
M00106,DT-402,FDR-001,RR_Nagar,4.4,LT2-domestic,12.808882,77.441646
H80107,DT-402,FDR-001,RR_Nagar,34.6,LT5-commercial,12.806542,77.44181
M00108,DT-402,FDR-001,RR_Nagar,2.5,LT2-domestic,12.811154,77.444369
M00109,DT-402,FDR-001,RR_Nagar,3.6,LT2-domestic,12.809552,77.442494
M00110,DT-402,FDR-001,RR_Nagar,4.8,LT2-domestic,12.811145,77.44346
M00111,DT-402,FDR-001,RR_Nagar,3.2,LT2-domestic,12.809101,77.441819
M00112,DT-402,FDR-001,RR_Nagar,2.6,LT2-domestic,12.808376,77.442871
M00113,DT-402,FDR-001,RR_Nagar,4.3,LT2-domestic,12.809394,77.442583
M00114,DT-402,FDR-001,RR_Nagar,3.6,LT2-domestic,12.809255,77.444359
M00115,DT-402,FDR-001,RR_Nagar,2.6,LT2-domestic,12.810147,77.442219
M00116,DT-402,FDR-001,RR_Nagar,1.5,LT2-domestic,12.810257,77.443591
M00117,DT-402,FDR-001,RR_Nagar,1.9,LT2-domestic,12.808083,77.443865
M00118,DT-402,FDR-001,RR_Nagar,4.3,LT2-domestic,12.808239,77.443158
M00119,DT-402,FDR-001,RR_Nagar,32.8,LT5-commercial,12.811089,77.442134
M00120,DT-402,FDR-001,RR_Nagar,4.5,LT2-domestic,12.807737,77.44242
M00121,DT-402,FDR-001,RR_Nagar,1.1,LT2-domestic,12.807481,77.44456
M00122,DT-402,FDR-001,RR_Nagar,2.5,LT2-domestic,12.809078,77.441837
M00123,DT-402,FDR-001,RR_Nagar,4.9,LT2-domestic,12.81015,77.441519
M00124,DT-402,FDR-001,RR_Nagar,4.1,LT2-domestic,12.808558,77.444289
M00125,DT-402,FDR-001,RR_Nagar,3.4,LT2-domestic,12.807892,77.442778
M00126,DT-402,FDR-001,RR_Nagar,2.6,LT2-domestic,12.810889,77.442599
M00127,DT-402,FDR-001,RR_Nagar,1.4,LT2-domestic,12.81216,77.443669
M00128,DT-402,FDR-001,RR_Nagar,3.0,LT2-domestic,12.808635,77.444569
M00129,DT-402,FDR-001,RR_Nagar,4.8,LT2-domestic,12.812044,77.442434
M00130,DT-402,FDR-001,RR_Nagar,4.3,LT2-domestic,12.809009,77.442934
M00131,DT-402,FDR-001,RR_Nagar,3.8,LT2-domestic,12.810321,77.443079
H80132,DT-402,FDR-001,RR_Nagar,4.9,LT2-domestic,12.807877,77.441349
M00133,DT-402,FDR-001,RR_Nagar,2.6,LT2-domestic,12.810448,77.442443
M00134,DT-402,FDR-001,RR_Nagar,4.0,LT2-domestic,12.808753,77.443092
M00135,DT-402,FDR-001,RR_Nagar,2.2,LT2-domestic,12.810257,77.442522
M00136,DT-402,FDR-001,RR_Nagar,1.4,LT2-domestic,12.809941,77.444168
M00137,DT-402,FDR-001,RR_Nagar,3.9,LT2-domestic,12.811191,77.44243
M00138,DT-402,FDR-001,RR_Nagar,3.4,LT2-domestic,12.80906,77.444641
M00139,DT-402,FDR-001,RR_Nagar,2.9,LT2-domestic,12.808563,77.443412
M00140,DT-402,FDR-001,RR_Nagar,2.7,LT2-domestic,12.808217,77.441987
M00141,DT-402,FDR-001,RR_Nagar,3.5,LT2-domestic,12.809629,77.442297
M00142,DT-402,FDR-001,RR_Nagar,1.4,LT2-domestic,12.809626,77.44265
M00143,DT-402,FDR-001,RR_Nagar,2.3,LT2-domestic,12.808378,77.44298
M00144,DT-402,FDR-001,RR_Nagar,2.4,LT2-domestic,12.809445,77.442519
M00145,DT-402,FDR-001,RR_Nagar,3.6,LT2-domestic,12.808906,77.442748
M00146,DT-402,FDR-001,RR_Nagar,4.6,LT2-domestic,12.809988,77.444232
M00147,DT-402,FDR-001,RR_Nagar,2.4,LT2-domestic,12.810372,77.443807
M00148,DT-402,FDR-001,RR_Nagar,4.3,LT2-domestic,12.80984,77.44458
M00149,DT-402,FDR-001,RR_Nagar,2.0,LT2-domestic,12.81025,77.444727
M00150,DT-403,FDR-001,RR_Nagar,47.4,LT5-commercial,12.803291,77.4772
M00151,DT-403,FDR-001,RR_Nagar,2.0,LT2-domestic,12.803246,77.477995
M00152,DT-403,FDR-001,RR_Nagar,2.6,LT2-domestic,12.803949,77.478548
M00153,DT-403,FDR-001,RR_Nagar,4.0,LT2-domestic,12.801627,77.476809
M00154,DT-403,FDR-001,RR_Nagar,2.9,LT2-domestic,12.804403,77.476845
M00155,DT-403,FDR-001,RR_Nagar,2.2,LT2-domestic,12.802604,77.477712
M00156,DT-403,FDR-001,RR_Nagar,3.7,LT2-domestic,12.803686,77.478091
H80157,DT-403,FDR-001,RR_Nagar,3.2,LT2-domestic,12.803597,77.477729
M00158,DT-403,FDR-001,RR_Nagar,2.0,LT2-domestic,12.804516,77.476281
M00159,DT-403,FDR-001,RR_Nagar,39.4,LT5-commercial,12.802455,77.476016
M00160,DT-403,FDR-001,RR_Nagar,5.0,LT2-domestic,12.803277,77.476454
M00161,DT-403,FDR-001,RR_Nagar,1.2,LT2-domestic,12.803076,77.477485
M00162,DT-403,FDR-001,RR_Nagar,3.7,LT2-domestic,12.803157,77.478434
M00163,DT-403,FDR-001,RR_Nagar,3.1,LT2-domestic,12.801871,77.476528
M00164,DT-403,FDR-001,RR_Nagar,4.2,LT2-domestic,12.804423,77.476365
M00165,DT-403,FDR-001,RR_Nagar,1.8,LT2-domestic,12.8027,77.476123
M00166,DT-403,FDR-001,RR_Nagar,3.4,LT2-domestic,12.805125,77.477019
M00167,DT-403,FDR-001,RR_Nagar,1.9,LT2-domestic,12.801927,77.478743
H80168,DT-403,FDR-001,RR_Nagar,4.2,LT2-domestic,12.802754,77.478202
M00169,DT-403,FDR-001,RR_Nagar,42.5,LT5-commercial,12.802827,77.477373
M00170,DT-403,FDR-001,RR_Nagar,2.8,LT2-domestic,12.80376,77.476876
M00171,DT-403,FDR-001,RR_Nagar,4.2,LT2-domestic,12.803268,77.475577
M00172,DT-403,FDR-001,RR_Nagar,3.8,LT2-domestic,12.80251,77.477171
M00173,DT-403,FDR-001,RR_Nagar,38.2,LT5-commercial,12.803736,77.478001
M00174,DT-403,FDR-001,RR_Nagar,4.1,LT2-domestic,12.802382,77.476831
M00175,DT-403,FDR-001,RR_Nagar,3.6,LT2-domestic,12.804341,77.476914
M00176,DT-403,FDR-001,RR_Nagar,1.5,LT2-domestic,12.801493,77.476041
M00177,DT-403,FDR-001,RR_Nagar,4.8,LT2-domestic,12.804159,77.476773
M00178,DT-403,FDR-001,RR_Nagar,1.8,LT2-domestic,12.802963,77.476959
M00179,DT-403,FDR-001,RR_Nagar,3.9,LT2-domestic,12.803282,77.476806
M00180,DT-403,FDR-001,RR_Nagar,2.1,LT2-domestic,12.805166,77.477726
M00181,DT-403,FDR-001,RR_Nagar,3.1,LT2-domestic,12.804721,77.476707
M00182,DT-403,FDR-001,RR_Nagar,4.0,LT2-domestic,12.803358,77.478279
M00183,DT-403,FDR-001,RR_Nagar,3.1,LT2-domestic,12.804598,77.477056
M00184,DT-403,FDR-001,RR_Nagar,1.9,LT2-domestic,12.802836,77.475997
M00185,DT-403,FDR-001,RR_Nagar,1.9,LT2-domestic,12.802405,77.477504
M00186,DT-403,FDR-001,RR_Nagar,2.3,LT2-domestic,12.80331,77.478121
M00187,DT-403,FDR-001,RR_Nagar,4.0,LT2-domestic,12.803176,77.476851
M00188,DT-403,FDR-001,RR_Nagar,4.2,LT2-domestic,12.802892,77.478693
M00189,DT-403,FDR-001,RR_Nagar,48.2,LT5-commercial,12.802144,77.477005
M00190,DT-403,FDR-001,RR_Nagar,3.5,LT2-domestic,12.802724,77.477699
M00191,DT-403,FDR-001,RR_Nagar,4.1,LT2-domestic,12.803471,77.476944
M00192,DT-403,FDR-001,RR_Nagar,2.3,LT2-domestic,12.80262,77.478435
M00193,DT-403,FDR-001,RR_Nagar,4.3,LT2-domestic,12.804806,77.477751
M00194,DT-403,FDR-001,RR_Nagar,5.0,LT2-domestic,12.803446,77.47721
M00195,DT-403,FDR-001,RR_Nagar,1.4,LT2-domestic,12.804197,77.476825
M00196,DT-403,FDR-001,RR_Nagar,1.1,LT2-domestic,12.80617,77.478131
M00197,DT-403,FDR-001,RR_Nagar,3.2,LT2-domestic,12.804948,77.4772
M00198,DT-403,FDR-001,RR_Nagar,1.5,LT2-domestic,12.804425,77.475786
M00199,DT-403,FDR-001,RR_Nagar,3.8,LT2-domestic,12.804464,77.477074
M00200,DT-404,FDR-002,RR_Nagar,2.7,LT2-domestic,12.835614,77.494066
M00201,DT-404,FDR-002,RR_Nagar,3.2,LT2-domestic,12.835429,77.494506
M00202,DT-404,FDR-002,RR_Nagar,2.2,LT2-domestic,12.835475,77.495403
M00203,DT-404,FDR-002,RR_Nagar,2.0,LT2-domestic,12.835023,77.494754
M00204,DT-404,FDR-002,RR_Nagar,4.6,LT2-domestic,12.836383,77.493557
M00205,DT-404,FDR-002,RR_Nagar,3.0,LT2-domestic,12.836802,77.495975
M00206,DT-404,FDR-002,RR_Nagar,2.9,LT2-domestic,12.837867,77.494091
M00207,DT-404,FDR-002,RR_Nagar,4.8,LT2-domestic,12.835944,77.494257
M00208,DT-404,FDR-002,RR_Nagar,4.9,LT2-domestic,12.8376,77.495374
M00209,DT-404,FDR-002,RR_Nagar,1.8,LT2-domestic,12.836803,77.492961
M00210,DT-404,FDR-002,RR_Nagar,4.6,LT2-domestic,12.835665,77.494882
M00211,DT-404,FDR-002,RR_Nagar,1.0,LT2-domestic,12.835396,77.493
M00212,DT-404,FDR-002,RR_Nagar,5.0,LT2-domestic,12.834625,77.494276
M00213,DT-404,FDR-002,RR_Nagar,2.3,LT2-domestic,12.836478,77.493394
M00214,DT-404,FDR-002,RR_Nagar,1.5,LT2-domestic,12.835392,77.492943
M00215,DT-404,FDR-002,RR_Nagar,4.0,LT2-domestic,12.837793,77.494913
M00216,DT-404,FDR-002,RR_Nagar,3.3,LT2-domestic,12.837476,77.493674
M00217,DT-404,FDR-002,RR_Nagar,2.7,LT2-domestic,12.836019,77.494822
M00218,DT-404,FDR-002,RR_Nagar,4.5,LT2-domestic,12.835278,77.495534
M00219,DT-404,FDR-002,RR_Nagar,1.4,LT2-domestic,12.836376,77.494324
M00220,DT-404,FDR-002,RR_Nagar,4.2,LT2-domestic,12.835568,77.493491
M00221,DT-404,FDR-002,RR_Nagar,2.4,LT2-domestic,12.836362,77.492963
M00222,DT-404,FDR-002,RR_Nagar,4.9,LT2-domestic,12.835629,77.495657
M00223,DT-404,FDR-002,RR_Nagar,1.0,LT2-domestic,12.836347,77.492206
M00224,DT-404,FDR-002,RR_Nagar,2.3,LT2-domestic,12.835924,77.493191
M00225,DT-404,FDR-002,RR_Nagar,2.0,LT2-domestic,12.837252,77.492891
M00226,DT-404,FDR-002,RR_Nagar,3.9,LT2-domestic,12.837973,77.493678
H80227,DT-404,FDR-002,RR_Nagar,2.4,LT2-domestic,12.835788,77.494263
M00228,DT-404,FDR-002,RR_Nagar,2.6,LT2-domestic,12.836669,77.494739
M00229,DT-404,FDR-002,RR_Nagar,3.9,LT2-domestic,12.835416,77.4934
M00230,DT-404,FDR-002,RR_Nagar,5.0,LT2-domestic,12.835687,77.493344
M00231,DT-404,FDR-002,RR_Nagar,1.8,LT2-domestic,12.8326,77.493827
M00232,DT-404,FDR-002,RR_Nagar,4.6,LT2-domestic,12.836033,77.494074
M00233,DT-404,FDR-002,RR_Nagar,3.4,LT2-domestic,12.835604,77.496603
M00234,DT-404,FDR-002,RR_Nagar,4.3,LT2-domestic,12.834951,77.494145
M00235,DT-404,FDR-002,RR_Nagar,4.5,LT2-domestic,12.835055,77.49461
M00236,DT-404,FDR-002,RR_Nagar,1.1,LT2-domestic,12.836378,77.493135
M00237,DT-404,FDR-002,RR_Nagar,1.7,LT2-domestic,12.836909,77.494766
M00238,DT-404,FDR-002,RR_Nagar,4.2,LT2-domestic,12.836762,77.494462
M00239,DT-404,FDR-002,RR_Nagar,2.8,LT2-domestic,12.837502,77.493843
H80240,DT-404,FDR-002,RR_Nagar,1.4,LT2-domestic,12.837321,77.494239
M00241,DT-404,FDR-002,RR_Nagar,4.3,LT2-domestic,12.836125,77.494294
M00242,DT-404,FDR-002,RR_Nagar,1.8,LT2-domestic,12.83605,77.493759
M00243,DT-404,FDR-002,RR_Nagar,3.1,LT2-domestic,12.83557,77.493817
M00244,DT-404,FDR-002,RR_Nagar,3.3,LT2-domestic,12.836811,77.494816
M00245,DT-404,FDR-002,RR_Nagar,3.5,LT2-domestic,12.835887,77.494813
M00246,DT-404,FDR-002,RR_Nagar,1.3,LT2-domestic,12.836624,77.492129
M00247,DT-404,FDR-002,RR_Nagar,3.8,LT2-domestic,12.836712,77.493081
M00248,DT-404,FDR-002,RR_Nagar,3.8,LT2-domestic,12.83696,77.494291
M00249,DT-404,FDR-002,RR_Nagar,1.4,LT2-domestic,12.83579,77.492905
M00250,DT-405,FDR-002,RR_Nagar,1.5,LT2-domestic,12.799242,77.520699
M00251,DT-405,FDR-002,RR_Nagar,21.4,LT5-commercial,12.800742,77.518411
M00252,DT-405,FDR-002,RR_Nagar,3.4,LT2-domestic,12.800046,77.519666
M00253,DT-405,FDR-002,RR_Nagar,1.5,LT2-domestic,12.801853,77.519782
M00254,DT-405,FDR-002,RR_Nagar,1.4,LT2-domestic,12.801755,77.519326
M00255,DT-405,FDR-002,RR_Nagar,4.3,LT2-domestic,12.802838,77.519335
M00256,DT-405,FDR-002,RR_Nagar,4.3,LT2-domestic,12.802011,77.519097
M00257,DT-405,FDR-002,RR_Nagar,2.9,LT2-domestic,12.800825,77.520416
M00258,DT-405,FDR-002,RR_Nagar,1.0,LT2-domestic,12.802693,77.5203
M00259,DT-405,FDR-002,RR_Nagar,3.6,LT2-domestic,12.800526,77.519315
M00260,DT-405,FDR-002,RR_Nagar,2.9,LT2-domestic,12.802137,77.520983
M00261,DT-405,FDR-002,RR_Nagar,3.2,LT2-domestic,12.799386,77.519118
M00262,DT-405,FDR-002,RR_Nagar,2.1,LT2-domestic,12.79999,77.519399
M00263,DT-405,FDR-002,RR_Nagar,2.4,LT2-domestic,12.802093,77.517665
M00264,DT-405,FDR-002,RR_Nagar,1.3,LT2-domestic,12.80147,77.520639
M00265,DT-405,FDR-002,RR_Nagar,3.7,LT2-domestic,12.800181,77.520424
M00266,DT-405,FDR-002,RR_Nagar,2.9,LT2-domestic,12.799372,77.520416
M00267,DT-405,FDR-002,RR_Nagar,2.1,LT2-domestic,12.800732,77.52056
M00268,DT-405,FDR-002,RR_Nagar,2.3,LT2-domestic,12.80141,77.519575
M00269,DT-405,FDR-002,RR_Nagar,2.4,LT2-domestic,12.801502,77.519651
M00270,DT-405,FDR-002,RR_Nagar,2.7,LT2-domestic,12.79911,77.519715
M00271,DT-405,FDR-002,RR_Nagar,5.0,LT2-domestic,12.801969,77.520163
M00272,DT-405,FDR-002,RR_Nagar,4.8,LT2-domestic,12.800901,77.520111
M00273,DT-405,FDR-002,RR_Nagar,1.7,LT2-domestic,12.800548,77.520787
M00274,DT-405,FDR-002,RR_Nagar,2.9,LT2-domestic,12.801985,77.519638
M00275,DT-405,FDR-002,RR_Nagar,2.7,LT2-domestic,12.800528,77.520263
M00276,DT-405,FDR-002,RR_Nagar,3.8,LT2-domestic,12.79853,77.519303
M00277,DT-405,FDR-002,RR_Nagar,1.8,LT2-domestic,12.802458,77.518505
M00278,DT-405,FDR-002,RR_Nagar,3.7,LT2-domestic,12.80134,77.519215
M00279,DT-405,FDR-002,RR_Nagar,1.2,LT2-domestic,12.799566,77.519697
M00280,DT-405,FDR-002,RR_Nagar,3.4,LT2-domestic,12.800162,77.518607
M00281,DT-405,FDR-002,RR_Nagar,2.1,LT2-domestic,12.801508,77.520192
M00282,DT-405,FDR-002,RR_Nagar,3.9,LT2-domestic,12.800434,77.520031
M00283,DT-405,FDR-002,RR_Nagar,4.4,LT2-domestic,12.80189,77.5186
M00284,DT-405,FDR-002,RR_Nagar,3.7,LT2-domestic,12.801437,77.520998
M00285,DT-405,FDR-002,RR_Nagar,3.6,LT2-domestic,12.802144,77.517837
M00286,DT-405,FDR-002,RR_Nagar,4.9,LT2-domestic,12.801496,77.519879
M00287,DT-405,FDR-002,RR_Nagar,3.7,LT2-domestic,12.80274,77.519518
M00288,DT-405,FDR-002,RR_Nagar,1.6,LT2-domestic,12.801007,77.516937
M00289,DT-405,FDR-002,RR_Nagar,1.4,LT2-domestic,12.799484,77.51863
H80290,DT-405,FDR-002,RR_Nagar,1.1,LT2-domestic,12.80162,77.518868
M00291,DT-405,FDR-002,RR_Nagar,1.1,LT2-domestic,12.801325,77.519465
M00292,DT-405,FDR-002,RR_Nagar,4.8,LT2-domestic,12.80083,77.520099
M00293,DT-405,FDR-002,RR_Nagar,2.3,LT2-domestic,12.80015,77.519177
M00294,DT-405,FDR-002,RR_Nagar,1.1,LT2-domestic,12.801392,77.520469
M00295,DT-405,FDR-002,RR_Nagar,3.4,LT2-domestic,12.801449,77.519952
H80296,DT-405,FDR-002,RR_Nagar,3.8,LT2-domestic,12.800904,77.519646
M00297,DT-405,FDR-002,RR_Nagar,2.4,LT2-domestic,12.80111,77.520402
M00298,DT-405,FDR-002,RR_Nagar,4.4,LT2-domestic,12.800735,77.516806
M00299,DT-405,FDR-002,RR_Nagar,2.1,LT2-domestic,12.800209,77.518961
M00300,DT-406,FDR-002,RR_Nagar,3.0,LT2-domestic,12.850556,77.525355
M00301,DT-406,FDR-002,RR_Nagar,1.4,LT2-domestic,12.851868,77.524126
M00302,DT-406,FDR-002,RR_Nagar,3.1,LT2-domestic,12.851529,77.522841
M00303,DT-406,FDR-002,RR_Nagar,48.7,LT5-commercial,12.849728,77.52344
M00304,DT-406,FDR-002,RR_Nagar,26.3,LT5-commercial,12.84881,77.524499
M00305,DT-406,FDR-002,RR_Nagar,1.7,LT2-domestic,12.8508,77.525483
M00306,DT-406,FDR-002,RR_Nagar,4.3,LT2-domestic,12.848242,77.525229
M00307,DT-406,FDR-002,RR_Nagar,4.3,LT2-domestic,12.850385,77.52463
M00308,DT-406,FDR-002,RR_Nagar,1.5,LT2-domestic,12.849377,77.52406
